Escuela_ID;Curso;División;Matrícula
989;2°;6ta;27
989;3°;1ra;31
989;3°;2da;42
989;3°;3ra;36
989;3°;4ta;33
989;3°;5ta;35
989;3°;6º;36
989;4°;1ra;26
989;4°;2da;31
989;4°;3ra;34
989;4°;4ta;30
989;4°;5ta;28
989;4°;6ª;36
989;5°;1ra;30
989;5°;2da;29
989;5°;3ra;30
989;5°;4ta;34
989;5°;5ta;29
989;5°;6º;32
990;1°;1;30
990;1°;2;29
990;1°;3;29
990;1°;4;29
990;2°;2;31
990;2°;4;31
990;2°;5;31
990;2°;6;31
990;3°;1;40
990;3°;2;40
990;3°;3;30
990;4°;1;29
990;4°;2;29
990;4°;3;30
990;5°;1;27
990;5°;2;32
990;5°;3;33
990;6°;1;31
990;6°;2;32
990;6°;3;30
991;1°;1ª;26
991;1°;2ª;26
991;1°;3ª;26
991;1°;4ª;26
991;1°;5ª;26
991;1°;6ª;28
991;2°;1ª;28
991;2°;2ª;26
991;2°;3ª;30
991;2°;4ª;29
991;2°;5ª;30
991;2°;6ª;27
991;3°;1ª;29
991;3°;2ª;28
991;3°;3ª;28
991;3°;4ª;33
991;3°;5ª;30
991;4°;1ª;20
991;4°;2ª;26
991;4°;3ª;28
991;4°;4ª;22
991;4°;5ª;23
991;5°;1ª;25
991;5°;2ª;28
991;5°;3ª;13
991;5°;4ª;32
991;5°;5ª;19
991;6°;1ª;22
991;6°;2ª;25
991;6°;3ª;13
991;6°;4ª;26
991;6°;5;19
993;1°;1ª;24
993;1°;2ª;22
993;1°;3ª;25
993;1°;4ª;22
993;1°;5;30
993;1°;6ª;17
993;1°;7ª;22
993;2°;1ª;31
993;2°;2ª;32
993;2°;3ª;33
993;2°;4ª;34
993;2°;5ª;36
993;3°;1ª Téc: Alimentación;24
993;3°;2ª Téc: Alimentación;27
993;3°;3ª Téc: Indumentaria;24
993;3°;4ª Téc: Indumentaria;26
993;3°;5;24
993;4°;1ª Téc: Alimentación;25
993;4°;2ª Téc: Alimentación;27
993;4°;3ª Téc: Indumentaria;31
993;4°;4ª Téc: Indumentaria;32
993;5°;1ª Téc: Alimentación;19
993;5°;2ª Téc: Alimentación;21
993;5°;3ª Téc: Indumentaria;36
993;6°;1ª Téc: Alimentación;16
993;6°;2ª Téc: Indumentaria;30
993;6°;3ª Téc: Alimentación;18
997;1°;1°;30
997;1°;2°;25
997;1°;3°;25
997;1°;4°;28
997;1°;5°;25
997;1°;6°;28
997;2°;1°;28
997;2°;2°;24
997;2°;3°;27
997;2°;4°;28
997;2°;5°;27
997;2°;6°;29
997;3°;1°;35
997;3°;2°;36
997;3°;3°;38
997;3°;4°;36
997;4°;1°;33
997;4°;2°;31
997;4°;3°;32
997;4°;4°;36
997;5°;1°;21
997;5°;2°;22
997;5°;3°;23
997;5°;4º;21
1004;1°;1°;33
1004;1°;2°;31
1004;1°;3°;34
1004;1°;4°;28
1004;1°;5°;33
1004;1°;6°;31
1004;2°;1°;34
1004;2°;2°;34
1004;2°;3°;33
1004;2°;4°;36
1004;2°;5°;36
1004;2°;6°;31
1004;3°;1°;30
1004;3°;2°;40
1004;3°;3º;32
1004;3°;4°;36
1004;3°;5°;19
1004;3°;6°;39
1004;4°;1°;39
1004;4°;2°;29
1004;4°;3º;17
1004;4°;4°;27
1004;4°;5°;34
1004;4°;6º;28
1004;5°;1°;37
1004;5°;2°;31
1004;5°;3º;25
1004;5°;4º;32
1004;5°;5º;30
1004;6°;1°;18
1004;6°;2°;32
1004;6°;3º;26
1004;6°;4º;23
1004;6°;5º;30
1004;6°;6º;15
1008;1°;1;29
1008;1°;2;27
1008;1°;3;25
1008;1°;4;24
1008;1°;5;27
1008;2°;1;28
1008;2°;2;30
1008;2°;3;27
1008;2°;4;25
1008;2°;5;26
1008;3°;1;38
1008;3°;2;30
1008;3°;3;34
1008;3°;4;29
1008;4°;1;30
1008;4°;2;21
1008;4°;3;24
1008;4°;4;22
1008;5°;1;22
1008;5°;2;19
1008;5°;3;18
1008;5°;4;21
1008;6°;1;22
1008;6°;2;17
1008;6°;3;15
1008;6°;4º;14
1010;1°;1° Mañana;20
1010;1°;2° Mañana;19
1010;1°;3° Mañana;20
1010;1°;4° Mañana;19
1010;1°;5° Mañana;20
1010;2°;1º Mañana;29
1010;2°;2° Mañana;25
1010;2°;3° Mañana;30
1010;2°;4° Mañana;28
1010;3°;1° Tarde;22
1010;3°;2;31
1010;3°;3;18
1010;3°;4°;18
1010;4°;1° Tarde;27
1010;4°;2;26
1010;4°;3°;24
1010;5°;1;25
1010;5°;2° Mañana;20
1010;5°;3;24
1010;6°;1;38
1012;1°;1º;24
1012;1°;2º;26
1012;1°;3º;25
1012;1°;4º;24
1012;1°;5º;23
1012;2°;1º;22
1012;2°;2º;25
1012;2°;3º;25
1012;2°;4º;23
1012;2°;5°;20
1012;3°;1º;30
1012;3°;2º;27
1012;3°;3º;29
1012;3°;4º;23
1012;4°;1º;25
1012;4°;2º;32
1012;4°;3º;24
1012;5°;1º;25
1012;5°;2º;26
1012;5°;3°;22
1013;1°;1º;35
1013;1°;2°;34
1013;1°;3°;35
1013;1°;4°;35
1013;2°;1º;34
1013;2°;2°;35
1013;2°;3°;35
1013;2°;4°;33
1013;3°;1º;42
1013;3°;2º;33
1013;3°;3°;40
1013;3°;4°;32
1013;4°;1º;24
1013;4°;2º;27
1013;4°;3°;30
1013;4°;4°;31
1013;5°;1º;22
1013;5°;2º;21
1013;5°;3;27
1013;5°;4;22
1013;6°;1º;36
1015;1°;1ra;22
1015;1°;2da;24
1015;1°;3ra;23
1015;1°;4ta;22
1015;2°;1ra;30
1015;2°;2da;29
1015;2°;3ra;24
1015;3°;1ra;17
1015;3°;2da;14
1015;3°;3ra;18
1015;4°;1ra;22
1015;4°;2da;26
1015;5°;1ra;13
1015;5°;2º;14
1015;6°;1ra;16
1015;6°;2da;22
1018;1°;1ª ;25
1018;1°;2ª ;24
1018;1°;3ª ;22
1018;1°;4ª ;24
1018;2°;1ª ;30
1018;2°;2ª CB;29
1018;2°;3ª ;30
1018;3°;1ª CO EGO;23
1018;3°;2º TECNICA;20
1018;3°;3;18
1018;4°;1ª;23
1018;4°;2º TECNICA;10
1018;4°;3;15
1018;5°;1ª ;23
1018;5°;2;22
1018;5°;3° Técnica;11
1018;6°;1°;7
1022;1°;1ª;16
1022;1°;2ª;17
1022;1°;3ª;17
1022;1°;4ª;16
1022;2°;1ª;13
1022;2°;2ª;18
1022;2°;3ª;15
1022;2°;4ª;11
1022;3°;1ª;15
1022;3°;2ª;16
1022;3°;3ª;15
1022;3°;4ª;13
1022;4°;1ª;24
1022;4°;2ª;19
1022;4°;3ª;19
1022;5°;1ª;8
1022;5°;2ª;18
1022;5°;3ª;16
1022;6°;1ª;17
1022;6°;2ª;8
1022;6°;3ª;12
1023;1°;Cuarta;27
1023;1°;Octava;25
1023;1°;Primera;30
1023;1°;Quinta;31
1023;1°;Segunda;27
1023;1°;Septima;29
1023;1°;Sexta;22
1023;1°;Tercera;29
1023;2°;Cuarta;32
1023;2°;Primera;34
1023;2°;Quinta;29
1023;2°;Segunda;29
1023;2°;Sexta;28
1023;2°;Séptima;31
1023;2°;Tercera;24
1023;3°;Cuarta;31
1023;3°;Primera;31
1023;3°;Quinta;29
1023;3°;Segunda;33
1023;3°;Sexta;30
1023;3°;Séptima;32
1023;3°;Tercera;31
1023;4°;Cuarta;22
1023;4°;Primera;27
1023;4°;Quinta;21
1023;4°;SEXTA;24
1023;4°;Segunda;35
1023;4°;Tercera;27
1023;5°;CUARTA;27
1023;5°;Primera;28
1023;5°;QUINTA;22
1023;5°;Segunda;40
1023;5°;Tercera;24
1023;6°;Primera;32
1023;6°;Segunda;31
1023;6°;TERCERA;28
1024;1°;1ª;24
1024;1°;2ª;22
1024;1°;3ª;27
1024;1°;4ª;27
1024;2°;1ª;16
1024;2°;2ª;23
1024;2°;3ª;16
1024;2°;4ª;19
1024;3°;1ª;21
1024;3°;2ª;22
1024;3°;3ª;22
1024;4°;1ª;21
1024;4°;2ª;23
1024;5°;1ª;18
1024;5°;2ª;24
1024;6°;1ª;16
1026;1°;1°;26
1026;1°;2°;31
1026;1°;3°;33
1026;1°;4°;25
1026;2°;1°;33
1026;2°;2°;26
1026;2°;3°;34
1026;2°;4°;29
1026;3°;1°;42
1026;3°;2°;46
1026;3°;3°;41
1026;4°;1°;29
1026;4°;2°;17
1026;4°;3°;24
1026;5°;1°;43
1026;5°;2°;32
1026;6°;1°;35
1026;6°;2°;41
1027;1°;1;18
1027;1°;2;18
1027;1°;3;17
1027;1°;4;18
1027;2°;1;20
1027;2°;2;23
1027;2°;3;21
1027;3°;1;23
1027;3°;2;29
1027;4°;1;13
1027;4°;2;17
1027;5°;2;20
1027;5°;U;22
1027;6°;U;23
1034;1°;1º;25
1034;1°;2º;27
1034;1°;3º;28
1034;1°;4º;24
1034;2°;1º;24
1034;2°;2º;31
1034;2°;3º;25
1034;2°;4º;27
1034;3°;1º;24
1034;3°;2º;29
1034;3°;3º;25
1034;4°;2º;33
1034;4°;3º;34
1034;5°;2º;22
1034;5°;3º;25
1034;6°;1º;28
1034;6°;2°;23
1037;1°;1ra;29
1037;1°;2da;31
1037;1°;3ra;30
1037;2°;1ra;27
1037;2°;2da;30
1037;2°;3ra;32
1037;3°;1ra;32
1037;3°;2da;33
1037;3°;3ra;24
1037;4°;1ra;27
1037;4°;2da;26
1037;4°;3ra;27
1037;5°;1ra;23
1037;5°;2da;22
1037;5°;3ra;23
1038;1°;1º;28
1038;1°;2º;28
1038;1°;3;27
1038;2°;1º;26
1038;2°;2º;26
1038;2°;3º;27
1038;3°;1º;29
1038;3°;2º;24
1038;3°;3º;25
1038;4°;1º;21
1038;4°;2º;21
1038;4°;3;19
1038;5°;1º;17
1038;5°;2º;37
1041;1°;1º;30
1041;1°;2º;35
1041;1°;3º;27
1041;2°;1º;29
1041;2°;2º;32
1041;2°;3º;30
1041;3°;1º;27
1041;3°;2;24
1041;3°;4º;25
1041;4°;1º;29
1041;4°;2a;28
1041;5°;1º;27
1041;5°;2°;19
1041;6°;1º;26
1041;6°;2;23
1043;1°;1;28
1043;1°;2;29
1043;1°;3;29
1043;1°;4;29
1043;1°;5°;26
1043;2°;1;31
1043;2°;2;32
1043;2°;3;28
1043;2°;4;33
1043;3°;1;14
1043;3°;2;29
1043;3°;3;29
1043;3°;4;29
1043;3°;5;18
1043;4°;1;22
1043;4°;2;25
1043;4°;3;29
1043;4°;4;24
1043;4°;5;21
1043;5°;1;33
1043;5°;2;29
1043;5°;3;29
1043;5°;4;33
1043;6°;1;23
1050;1°;1;27
1050;1°;2;29
1050;1°;3;30
1050;1°;4;29
1050;1°;5;31
1050;2°;1;32
1050;2°;2;38
1050;2°;3;35
1050;2°;4;35
1050;3°;1;39
1050;3°;2;36
1050;3°;3;40
1050;4°;1;33
1050;4°;2;29
1050;4°;3°;27
1050;5°;1;25
1050;5°;2;27
1050;6°;1;26
1050;6°;2;25
1052;1°;1ª;31
1052;1°;2ª;32
1052;1°;3ª;33
1052;1°;4ª;32
1052;1°;5ª;31
1052;2°;1ª;33
1052;2°;2ª;32
1052;2°;3ª;32
1052;2°;4ª;33
1052;2°;5ª;33
1052;3°;1ª;31
1052;3°;2ª;23
1052;3°;3ª;29
1052;3°;4ª;28
1052;3°;5ª;28
1052;3°;6ª;18
1052;4°;1ª;31
1052;4°;2ª;26
1052;4°;3ª;34
1052;4°;4ª;28
1052;4°;5ª;13
1052;5°;1ª;35
1052;5°;2ª;22
1052;5°;3ª;34
1052;5°;4ª;36
1052;5°;5ª;18
1052;6°;1ª;23
1053;1°;1ª;27
1053;1°;2ª;28
1053;1°;3ª;29
1053;1°;4ª;26
1053;1°;5ª;26
1053;2°;1ª;30
1053;2°;2ª;22
1053;2°;3ª;22
1053;2°;4ª;28
1053;2°;5ª;28
1053;3°;1ª;29
1053;3°;2ª;32
1053;3°;3ª;34
1053;3°;4ª;32
1053;4°;1ª;16
1053;4°;2ª;28
1053;4°;3ª;19
1053;4°;4ª;25
1053;5°;1ª;34
1053;5°;2ª;21
1053;5°;3ª;31
1053;5°;4°;21
1054;1°;1;32
1054;1°;2;31
1054;1°;3;33
1054;1°;5;31
1054;2°;1;34
1054;2°;2;34
1054;2°;3;33
1054;2°;4;27
1054;3°;1;26
1054;3°;2;30
1054;3°;3;29
1054;3°;4;26
1054;4°;1;30
1054;4°;2;34
1054;4°;3;39
1054;4°;4;29
