DESEMPEÑO;Alumno_ID;Operativo;CURSO_NORMALIZADO;Curso;División;Ausente;Cantidad_de_palabras;Prosodia;Incluido;Turno;Modalidad;Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;Regional;ciclo_lectivo;separador
Medio;309575;Operativo 2023 Instancia II;3°;3°;2da;No;161;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;312698;Operativo 2023 Instancia II;3°;3°;2da;No;135;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;312887;Operativo 2023 Instancia II;3°;3°;2da;No;145;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;313823;Operativo 2023 Instancia II;3°;3°;2da;No;119;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;314308;Operativo 2023 Instancia II;3°;3°;2da;No;141;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;317611;Operativo 2023 Instancia II;3°;3°;2da;No;45;1;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;318396;Operativo 2023 Instancia II;3°;3°;2da;No;112;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;320897;Operativo 2023 Instancia II;3°;3°;2da;No;157;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;323272;Operativo 2023 Instancia II;3°;3°;2da;No;128;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;325909;Operativo 2023 Instancia II;3°;3°;2da;No;131;1;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;326068;Operativo 2023 Instancia II;3°;3°;2da;No;109;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;328871;Operativo 2023 Instancia II;3°;3°;2da;No;109;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;328874;Operativo 2023 Instancia II;3°;3°;2da;No;203;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;331445;Operativo 2023 Instancia II;3°;3°;2da;No;142;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;332762;Operativo 2023 Instancia II;3°;3°;2da;No;75;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;333420;Operativo 2023 Instancia II;3°;3°;2da;No;125;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;333640;Operativo 2023 Instancia II;3°;3°;2da;No;164;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;334325;Operativo 2023 Instancia II;3°;3°;2da;No;131;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;334683;Operativo 2023 Instancia II;3°;3°;2da;No;131;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;339028;Operativo 2023 Instancia II;3°;3°;2da;No;148;1;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;341781;Operativo 2023 Instancia II;3°;3°;2da;No;113;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;343090;Operativo 2023 Instancia II;3°;3°;2da;No;101;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;343121;Operativo 2023 Instancia II;3°;3°;2da;No;153;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;344327;Operativo 2023 Instancia II;3°;3°;2da;No;65;1;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;348020;Operativo 2023 Instancia II;3°;3°;2da;No;141;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;353142;Operativo 2023 Instancia II;3°;3°;2da;No;100;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;358875;Operativo 2023 Instancia II;3°;3°;2da;No;152;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;313534;Operativo 2023 Instancia II;3°;3°;3ra;No;189;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;314415;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;317153;Operativo 2023 Instancia II;3°;3°;3ra;No;149;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;320337;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;321166;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;322173;Operativo 2023 Instancia II;3°;3°;3ra;No;168;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;325669;Operativo 2023 Instancia II;3°;3°;3ra;No;196;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;326145;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;330373;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;333328;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;334114;Operativo 2023 Instancia II;3°;3°;3ra;No;177;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;334254;Operativo 2023 Instancia II;3°;3°;3ra;No;159;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;334341;Operativo 2023 Instancia II;3°;3°;3ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;337817;Operativo 2023 Instancia II;3°;3°;3ra;No;171;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;338963;Operativo 2023 Instancia II;3°;3°;3ra;No;159;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;342987;Operativo 2023 Instancia II;3°;3°;3ra;No;168;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;346423;Operativo 2023 Instancia II;3°;3°;3ra;No;177;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;427285;Operativo 2023 Instancia II;3°;3°;3ra;No;159;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;823155;Operativo 2023 Instancia II;3°;3°;3ra;No;222;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;255141;Operativo 2023 Instancia II;4°;4°;1ra;No;152;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;263054;Operativo 2023 Instancia II;4°;4°;1ra;No;0;0;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;279083;Operativo 2023 Instancia II;4°;4°;1ra;No;0;0;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;279509;Operativo 2023 Instancia II;4°;4°;1ra;No;191;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;279541;Operativo 2023 Instancia II;4°;4°;1ra;No;170;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;283942;Operativo 2023 Instancia II;4°;4°;1ra;No;188;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;285696;Operativo 2023 Instancia II;4°;4°;1ra;No;180;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;285714;Operativo 2023 Instancia II;4°;4°;1ra;No;141;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;285792;Operativo 2023 Instancia II;4°;4°;1ra;No;159;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;286106;Operativo 2023 Instancia II;4°;4°;1ra;No;166;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;286913;Operativo 2023 Instancia II;4°;4°;1ra;No;132;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;286933;Operativo 2023 Instancia II;4°;4°;1ra;No;140;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;288616;Operativo 2023 Instancia II;4°;4°;1ra;No;180;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;291330;Operativo 2023 Instancia II;4°;4°;1ra;No;172;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;291933;Operativo 2023 Instancia II;4°;4°;1ra;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;293382;Operativo 2023 Instancia II;4°;4°;1ra;No;180;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;301599;Operativo 2023 Instancia II;4°;4°;1ra;No;179;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;303606;Operativo 2023 Instancia II;4°;4°;1ra;No;40;1;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;303815;Operativo 2023 Instancia II;4°;4°;1ra;No;123;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;305389;Operativo 2023 Instancia II;4°;4°;1ra;No;175;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;305527;Operativo 2023 Instancia II;4°;4°;1ra;No;0;0;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;310308;Operativo 2023 Instancia II;4°;4°;1ra;No;182;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;312381;Operativo 2023 Instancia II;4°;4°;1ra;No;169;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;312739;Operativo 2023 Instancia II;4°;4°;1ra;No;179;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;316869;Operativo 2023 Instancia II;4°;4°;1ra;No;160;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;416275;Operativo 2023 Instancia II;4°;4°;1ra;No;140;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;459412;Operativo 2023 Instancia II;4°;4°;1ra;No;180;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;596787;Operativo 2023 Instancia II;4°;4°;1ra;No;0;0;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;7309;Operativo 2023 Instancia II;4°;4°;2da;No;164;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;254921;Operativo 2023 Instancia II;4°;4°;2da;No;174;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;257167;Operativo 2023 Instancia II;4°;4°;2da;No;120;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;263582;Operativo 2023 Instancia II;4°;4°;2da;No;126;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;273348;Operativo 2023 Instancia II;4°;4°;2da;No;138;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;275789;Operativo 2023 Instancia II;4°;4°;2da;No;146;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;275923;Operativo 2023 Instancia II;4°;4°;2da;No;195;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;283635;Operativo 2023 Instancia II;4°;4°;2da;No;193;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;284129;Operativo 2023 Instancia II;4°;4°;2da;No;159;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;286951;Operativo 2023 Instancia II;4°;4°;2da;No;149;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;291710;Operativo 2023 Instancia II;4°;4°;2da;No;183;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;293400;Operativo 2023 Instancia II;4°;4°;2da;No;142;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;293417;Operativo 2023 Instancia II;4°;4°;2da;No;177;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;299357;Operativo 2023 Instancia II;4°;4°;2da;No;167;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;301620;Operativo 2023 Instancia II;4°;4°;2da;No;142;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;301635;Operativo 2023 Instancia II;4°;4°;2da;No;159;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;303859;Operativo 2023 Instancia II;4°;4°;2da;No;146;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;307550;Operativo 2023 Instancia II;4°;4°;2da;No;142;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;312867;Operativo 2023 Instancia II;4°;4°;2da;No;114;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;314341;Operativo 2023 Instancia II;4°;4°;2da;No;196;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;524289;Operativo 2023 Instancia II;4°;4°;2da;No;134;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;281661;Operativo 2023 Instancia II;4°;4°;3ra;No;123;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;284005;Operativo 2023 Instancia II;4°;4°;3ra;No;214;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;284275;Operativo 2023 Instancia II;4°;4°;3ra;No;154;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;284307;Operativo 2023 Instancia II;4°;4°;3ra;No;156;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;285803;Operativo 2023 Instancia II;4°;4°;3ra;No;170;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Avanzado;285815;Operativo 2023 Instancia II;4°;4°;3ra;No;222;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;288187;Operativo 2023 Instancia II;4°;4°;3ra;No;162;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;288499;Operativo 2023 Instancia II;4°;4°;3ra;No;148;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;288758;Operativo 2023 Instancia II;4°;4°;3ra;No;116;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;289226;Operativo 2023 Instancia II;4°;4°;3ra;No;141;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;292023;Operativo 2023 Instancia II;4°;4°;3ra;No;136;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;293381;Operativo 2023 Instancia II;4°;4°;3ra;No;155;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;293676;Operativo 2023 Instancia II;4°;4°;3ra;No;123;2;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;296006;Operativo 2023 Instancia II;4°;4°;3ra;No;121;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;296904;Operativo 2023 Instancia II;4°;4°;3ra;No;160;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Crítico;297027;Operativo 2023 Instancia II;4°;4°;3ra;No;113;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;299434;Operativo 2023 Instancia II;4°;4°;3ra;No;160;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Medio;301616;Operativo 2023 Instancia II;4°;4°;3ra;No;162;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
Básico;301724;Operativo 2023 Instancia II;4°;4°;3ra;No;150;3;Si;Mañana;Presencial;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1070;LAS HERAS;LA CIENEGUITA;10%;NO CORRESPONDE;2023;**
