DESEMPEÑO;Alumno_ID;Operativo;CURSO_NORMALIZADO;Curso;División;Ausente;Cantidad_de_palabras;Prosodia;Incluido;Turno;Modalidad;Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;Departamento;Localidad;zona;Regional;ciclo_lectivo;separador
Medio;398743;Operativo 2023 Instancia II;7°;7°;A;No;144;2;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;14;CAPITAL;CUARTA SECCION;10%;NORTE;2023;**
Crítico;517167;Operativo 2023 Instancia II;3°;3°;A;No;0;0;Si;Mañana;Presencial;Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;NORTE;2023;**
Básico;700433;Operativo 2023 Instancia II;3°;3°;B;No;32;2;Si;Tarde;Presencial;Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;NORTE;2023;**
Crítico;699479;Operativo 2023 Instancia II;3°;3°;C;No;0;0;Si;Tarde;Presencial;Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;NORTE;2023;**
Medio;485750;Operativo 2023 Instancia II;5°;5°;A;No;95;2;Si;Mañana;Presencial;Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;NORTE;2023;**
Avanzado;490894;Operativo 2023 Instancia II;5°;5°;A;No;135;3;Si;Mañana;Presencial;Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;NORTE;2023;**
Crítico;416169;Operativo 2023 Instancia II;6°;6°;C;No;3;1;Si;Tarde;Presencial;Primario;Primario;Pública;02 - Primario;22;CAPITAL;CIUDAD;10%;NORTE;2023;**
Básico;787848;Operativo 2023 Instancia II;2°;2°;A;No;43;2;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Básico;679227;Operativo 2023 Instancia II;3°;3°;B;No;52;1;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Básico;512455;Operativo 2023 Instancia II;4°;4°;A;No;61;1;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Medio;506507;Operativo 2023 Instancia II;4°;4°;B;No;95;2;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Básico;478225;Operativo 2023 Instancia II;5°;5°;A;No;89;2;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Básico;487766;Operativo 2023 Instancia II;5°;5°;A;No;73;2;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Básico;391184;Operativo 2023 Instancia II;7°;7°;A;No;100;1;Si;Mañana;Presencial;Primario;Primario;Pública;01 - Primario;60;CAPITAL;QUINTA SECCION;10%;NORTE;2023;**
Crítico;681008;Operativo 2023 Instancia II;3°;3°;D;No;0;3;Si;Tarde;Presencial;Primario;Primario;Pública;02 - Primario;74;CAPITAL;SEGUNDA SECCION;10%;NORTE;2023;**
Básico;487892;Operativo 2023 Instancia II;5°;5°;B;No;72;2;Si;Mañana;Presencial;Primario;Primario;Pública;02 - Primario;74;CAPITAL;SEGUNDA SECCION;10%;NORTE;2023;**
Crítico;623598;Operativo 2023 Instancia II;3°;3°;C;No;0;1;Si;Tarde;Presencial;Primario;Primario;Pública;01 - Primario;194;CAPITAL;SEXTA SECCION;60%;NORTE;2023;**
Crítico;517711;Operativo 2023 Instancia II;3°;3°;C;No;9;0;Si;Tarde;Presencial;Primario;Primario;Pública;01 - Primario;197;CAPITAL;SEXTA SECCION;10%;NORTE;2023;**
Crítico;736311;Operativo 2023 Instancia II;3°;3°;C;No;0;0;Si;Tarde;Presencial;Primario;Primario;Pública;01 - Primario;197;CAPITAL;SEXTA SECCION;10%;NORTE;2023;**
Crítico;474126;Operativo 2023 Instancia II;5°;5°;C;No;0;0;Si;Tarde;Presencial;Primario;Primario;Pública;01 - Primario;197;CAPITAL;SEXTA SECCION;10%;NORTE;2023;**
