Escuela_ID;Lista_de_cursos_por_Escuela_ID
1189;['1°', '2°', '3°', '4°', '5°']
1191;['1°', '2°', '3°', '4°', '5°', '6°']
1198;['1°', '2°', '3°', '4°', '5°', '6°']
1199;['1°', '2°', '3°', '4°', '5°', '6°']
1200;['1°', '2°', '3°', '4°', '5°', '6°']
1202;['1°', '2°', '3°', '4°', '5°']
1204;['1°', '2°', '3°', '4°', '5°']
1209;['1°', '2°', '3°', '4°', '5°']
1224;['1°', '2°', '3°', '4°', '5°']
1241;['1°', '2°', '3°', '4°', '5°', '6°']
1450;['2°', '3°', '4°', '5°', '6°', '7°']
1812;['2°', '3°', '4°', '5°', '6°', '7°']
1813;['2°', '3°', '4°', '5°', '6°', '7°']
1817;['2°', '3°', '4°', '5°', '6°', '7°']
1818;['2°', '3°', '4°', '5°', '6°', '7°']
1820;['2°', '3°', '4°', '5°', '6°', '7°']
1823;['2°', '3°', '4°', '5°', '6°', '7°']
1824;['2°', '3°', '4°', '5°', '6°', '7°']
1831;['2°', '3°', '4°', '5°', '6°', '7°']
1832;['2°', '3°', '4°', '5°', '6°', '7°']
1837;['2°', '3°', '4°', '5°', '6°', '7°']
1842;['2°', '3°', '4°', '5°', '6°', '7°']
1844;['2°', '3°', '4°', '5°', '6°', '7°']
1846;['2°', '3°', '4°', '5°', '6°', '7°']
1847;['2°', '3°', '4°', '5°', '6°', '7°']
1849;['2°', '3°', '4°', '5°', '6°', '7°']
1852;['2°', '3°', '4°', '5°', '6°', '7°']
1854;['2°', '3°', '4°', '5°', '6°', '7°']
1856;['2°', '3°', '4°', '5°', '6°', '7°']
1862;['2°', '3°', '4°', '5°', '6°', '7°']
1865;['2°', '3°', '4°', '5°', '6°', '7°']
1867;['2°', '3°', '4°', '5°', '6°', '7°']
1869;['2°', '3°', '4°', '5°', '6°', '7°']
1875;['2°', '3°', '4°', '5°', '6°', '7°']
1877;['2°', '3°', '4°', '5°', '6°', '7°']
1878;['2°', '3°', '4°', '5°', '6°', '7°']
1882;['2°', '3°', '4°', '5°', '6°', '7°']
1883;['2°', '3°', '4°', '5°', '6°', '7°']
1884;['2°', '3°', '4°', '5°', '6°', '7°']
1885;['2°', '3°', '4°', '5°', '6°', '7°']
1887;['2°', '3°', '4°', '5°', '6°', '7°']
1905;['2°', '3°', '4°', '5°', '6°', '7°']
1908;['2°', '3°', '4°', '5°', '6°', '7°']
1909;['2°', '3°', '4°', '5°', '6°', '7°']
1910;['2°', '3°', '4°', '5°', '6°', '7°']
1913;['2°', '3°', '4°', '5°', '6°', '7°']
1914;['2°', '3°', '4°', '5°', '6°', '7°']
1918;['2°', '3°', '4°', '5°', '6°', '7°']
1926;['2°', '3°', '4°', '5°', '6°', '7°']
1935;['2°', '3°', '4°', '5°', '6°', '7°']
1936;['2°', '3°', '4°', '5°', '6°', '7°']
1947;['1°', '2°', '3°', '4°', '5°']
1948;['1°', '3°', '4°', '5°']
1949;['1°', '2°', '3°']
1951;['1°', '2°', '3°', '4°', '5°']
1952;['1°', '2°', '3°', '4°', '5°']
1953;['1°', '2°', '3°', '4°', '5°']
1954;['1°', '2°', '3°', '4°', '5°']
1955;['1°', '2°', '3°', '4°', '5°']
1956;['1°', '2°', '3°', '4°', '5°']
1957;['1°', '2°', '3°', '4°', '5°']
1958;['1°', '2°', '3°', '4°', '5°']
1959;['1°', '2°', '3°', '4°', '5°']
1960;['1°', '2°', '3°', '4°', '5°']
1961;['1°', '2°', '3°', '4°', '5°']
1962;['1°', '2°', '3°', '4°', '5°']
1964;['1°', '2°', '3°', '4°', '5°']
1970;['1°', '2°', '3°', '4°', '5°']
1975;['1°', '2°', '3°', '5°']
1979;['1°', '2°', '3°', '4°', '5°']
1980;['1°', '2°', '3°', '4°', '5°']
1985;['1°', '2°', '3°', '4°', '5°']
1987;['1°', '2°', '3°', '4°', '5°']
1989;['1°', '2°', '3°', '4°', '5°']
1993;['2°', '3°', '4°', '5°']
1995;['1°', '2°', '3°', '4°', '5°']
1998;['1°', '2°', '3°', '4°', '5°']
1999;['1°', '2°', '3°', '4°', '5°']
2001;['1°', '2°', '3°', '4°', '5°']
2007;['1°', '2°', '3°', '4°', '5°']
2015;['1°', '2°', '3°', '4°', '5°']
2017;['1°', '2°', '3°', '4°', '5°']
2021;['1°', '2°', '3°', '4°', '5°']
2027;['1°', '2°', '3°', '4°', '5°']
2039;['1°', '2°', '3°', '4°', '5°']
2041;['1°', '2°', '3°', '4°', '5°']
2047;['1°', '2°', '3°', '4°', '5°']
2058;['1°', '2°', '3°', '5°']
2353;['2°', '3°', '4°', '5°', '6°', '7°']
2355;['2°', '3°', '4°', '5°', '6°', '7°']
2358;['2°', '3°', '4°', '5°', '6°', '7°']
2361;['2°', '3°', '4°', '5°', '6°', '7°']
2389;['2°', '3°', '4°', '5°', '6°', '7°']
2565;['2°', '3°', '4°', '5°', '6°', '7°']
2572;['2°', '3°', '4°', '5°', '6°', '7°']
2586;['2°', '3°', '4°', '5°', '6°', '7°']
2587;['2°', '3°', '4°', '5°', '6°', '7°']
2590;['2°', '3°', '4°', '5°', '6°', '7°']
2639;['2°', '3°', '4°', '5°', '6°', '7°']
2648;['2°', '5°', '6°', '7°']
2661;['2°', '3°', '4°', '5°', '6°', '7°']
2662;['2°', '3°', '4°', '5°', '6°', '7°']
2667;['1°', '2°', '3°', '4°', '5°']
2669;['1°', '2°', '3°', '4°', '5°']
2670;['1°', '2°', '3°', '4°', '5°']
2675;['1°', '2°', '3°', '4°', '5°']
2676;['1°', '2°', '3°', '4°', '5°']
2677;['1°', '2°', '3°', '4°', '5°']
2680;['1°', '2°', '3°', '4°', '5°']
2681;['1°', '2°', '3°', '4°', '5°']
2682;['1°', '2°', '3°', '4°', '5°']
3187;['2°', '3°', '4°', '5°', '6°', '7°']
3191;['2°', '3°', '4°', '5°', '6°', '7°']
3206;['2°', '3°', '4°', '5°', '6°', '7°']
3210;['1°', '2°', '3°', '4°', '5°']
4394;['1°', '2°', '3°', '4°', '5°']
4984;['2°', '3°', '4°', '5°', '6°', '7°']
5087;['2°']
5089;['1°', '2°', '3°']
5111;['1°', '2°', '3°', '4°', '5°']
